message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T22:53:51.250699469Z
[2026-07-03T22:53:51.402Z] live-poller starting,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T22:53:51.667238863Z
[2026-07-03T22:53:51.465Z] live=1 tracked=0 updated=0 api_calls=1 total_calls=1 next_tick=60s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T22:53:51.667247103Z
[2026-07-03T22:54:51.547Z] live=1 tracked=0 updated=0 api_calls=1 total_calls=2 next_tick=60s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T22:54:51.693250369Z
[2026-07-03T22:55:51.620Z] live=1 tracked=0 updated=0 api_calls=1 total_calls=3 next_tick=60s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T22:56:01.585135233Z
[2026-07-03T22:56:51.699Z] live=1 tracked=0 updated=0 api_calls=1 total_calls=4 next_tick=60s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T22:56:51.721711805Z
  [details] fixture=1565179 events=1 lineups=2,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T22:58:01.810440282Z
[2026-07-03T22:57:51.980Z] live=2 tracked=1 updated=0 api_calls=3 total_calls=7 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T22:58:01.810443082Z
[2026-07-03T22:58:07.119Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=8 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T22:58:07.121482316Z
[2026-07-03T22:58:22.230Z] live=2 tracked=1 updated=0 api_calls=1 total_calls=9 next_tick=15s,info,"{""level"":""info""}","{""project"":""d79e25f1-5943-40f8-9bfc-f49b5cd52661"",""environment"":""22aae29e-b218-4b6d-a721-0e2fa3502636"",""service"":""d07536ed-0505-44a6-9618-9364ff28d4b7"",""deployment"":""aa24851e-2fd6-40b1-8cdb-642986a61cf4"",""replica"":""d0ff12fb-e4e8-4ba6-964c-15d8a4ef2b18""}",2026-07-03T22:58:27.191160508Z
